# =============================== CORRECTION 2026-08-12 ===============================
# THE bMPS COLUMN IS NOT A FAIR METHOD COMPARISON. An earlier version of this file
# presented its plateau as a boundary-MPS limitation. That was wrong.
#
# It estimates m as a ratio of two GLOBAL partition functions (lnZ=108.9, Z ~ e^109), so
# it inherits floating-point accumulation in Z. Measured:
#   * INDEPENDENT of chi -- identical to 4 s.f. from chi=12 to chi=48;
#   * GROWS with system size -- 2.86e-12 at 11x11 (lnZ=108.9), 5.23e-12 at 13x13
#     (lnZ=152.8); ~120-150 x eps*lnZ in both cases;
#   * unchanged by maxiter=200 or tolerance=1e-14.
# That is accumulation, not truncation. bMPS is converging fine.
#
# CTM's magnetisation is a LOCAL ring contraction that never forms Z, so it does not
# accumulate. The CTM-vs-bMPS gap below therefore partly measures GLOBAL-vs-LOCAL
# ESTIMATOR NUMERICS, not truncation quality. Do NOT quote it as "bMPS saturates".
#
# A fair comparison needs bMPS on a local estimator too (path_contract /
# reduced_density_matrix off a BoundaryMPSCache). NOT YET DONE.
#
# The :cut vs :cycle comparison IS unaffected -- both use the same local ring.
# =====================================================================================
# Finite 11x11 classical Ising, beta=0.4407 (~critical), h=0.01, free boundaries.
# Relative error |m_approx - m_exact| / |m_exact| in the single-site magnetisation.
# m_exact: corner=0.05748716351402133 centre=0.1672197640571815 (exact contraction).
# marg_* = marginal_inconsistency = the stationarity residual d_X Z (gauge invariant).
# NOTE floor ~1e-14: the reference is itself a ratio of two 11x11 contractions.
chi,cut_corner,cycle_corner,bmps_corner,cut_centre,cycle_centre,bmps_centre,marg_cut,marg_cycle
1,5.116820e+00,4.487982e+00,3.141327e+00,4.040312e+00,4.092079e+00,3.139721e+00,3.794489e-04,6.432781e-13
2,2.835002e-03,2.504183e-03,7.940948e-02,7.442374e-03,4.183139e-03,7.111258e-02,2.779001e-08,6.736531e-15
3,7.824218e-04,7.875666e-04,1.796198e-02,8.991738e-04,7.912415e-04,8.905040e-03,1.736065e-10,2.603978e-16
4,5.634797e-07,1.874633e-07,2.788526e-07,7.314885e-07,4.391072e-07,1.087487e-05,4.030993e-14,7.292147e-17
5,6.362654e-08,3.977590e-08,2.891152e-06,4.264893e-08,2.767339e-08,5.541822e-07,1.112242e-15,9.235037e-17
6,3.505612e-11,6.550101e-11,2.367030e-09,9.728076e-12,7.737795e-11,3.905937e-09,7.266914e-17,7.569702e-17
7,3.241875e-11,1.163532e-11,7.917861e-09,8.965386e-12,8.552753e-12,1.890596e-09,6.863197e-17,9.285502e-17
8,4.387688e-11,7.447397e-13,1.106886e-11,7.312863e-12,1.128516e-12,5.844763e-11,6.863197e-17,8.377137e-17
9,4.164990e-12,8.485446e-14,1.999343e-11,5.917281e-13,1.035732e-13,3.140391e-13,7.771561e-17,9.260269e-17
10,1.376018e-14,7.362905e-15,3.139253e-12,1.742818e-14,3.319653e-16,2.684437e-12,6.711803e-17,1.026956e-16
11,1.207034e-15,1.569144e-15,2.755658e-12,1.045691e-14,6.141357e-15,2.911667e-12,6.434247e-17,1.221245e-16
12,4.224618e-15,0.000000e+00,2.940334e-12,6.971270e-15,3.651618e-15,2.826352e-12,7.241682e-17,1.079944e-16
13,2.414067e-15,9.173456e-15,2.940334e-12,9.461010e-15,1.394254e-14,2.826352e-12,7.342611e-17,1.062282e-16
14,5.069541e-15,7.845719e-15,2.940334e-12,1.327861e-14,3.319653e-16,2.826352e-12,6.812732e-17,9.083643e-17
15,7.242202e-15,4.707431e-15,2.940334e-12,3.983583e-15,1.659826e-15,2.826352e-12,7.191217e-17,1.067328e-16
16,8.449235e-15,1.146682e-14,2.940334e-12,1.112084e-14,1.825809e-15,2.826352e-12,6.888429e-17,1.054712e-16
